"";"eRemoved";"nRemoved"
"1";444120;541980
"11";427300;522500
"34";432655;536445
"35";407274;517857
"44";439505;539455
"67";417510;550820
"86";414827;516258
"103";423478;547772
"109";440800;542100
"144";417400;550800
"145";442486;549257
"151";408300;516900
"152";427200;523400
"164";420930;550540
"167";417460;551260
"178";421200;550630
"182";417333;551122
"187";425490;539920
"190";428800;522100
"198";439764;537160
"204";430297;536090
"206";421030;526300
"214";439729;537152
"218";422436;525457
"220";421100;545600
"226";426541;554820
"249";425710;539740
"253";428218;533008
"258";423748;527951
"261";409600;550000
"278";417128;536400
"285";434121;534510
"288";423748;579510
"289";441165;541864
"298";421103;545569
"301";411682;518713
"326";437750;539206
"332";427600;535000
"338";426800;554900
"370";439747;539540
"375";410525;531130
"381";440900;540300
"388";431400;547400
"389";422327;525401
"395";422229;525419
"402";417170;533620
"410";404467;516615
"411";301100;518400
"412";428300;530500
"415";428200;532900
"420";425100;552000
"426";425230;539314
"437";414974;541021
"440";433100;536500
"441";415390;528260
"446";394800;524700
"484";426300;545800
"534";426800;535900
"580";441900;549400
"627";407200;518100
"639";420500;527100
"685";417500;550800
"733";423600;551400
"774";427300;522600
"816";432900;536600
"857";439500;539400
"899";443846;542549
"940";419388;554772
"971";431652;550252
"979";417200;556120
"981";426500;554700
"992";417500;556300
"1004";442500;549300
"1013";434190;534520
"1017";427700;584700
"1053";428696;575967
"1055";426331;583650
"1067";413866;575948
"1090";391900;566300
"1092";399200;654900
"1110";394458;564881
"1147";426537;604080
"1164";395778;565383
"1165";431022;582594
"1166";426220;589280
"1167";421066;586877
"1190";421323;585306
"1192";429180;585050
"1197";427878;584818
"1202";428594;582096
"1205";423347;587602
"1213";429025;589839
"1214";395400;567600
"1218";401040;646900
"1220";426430;583660
"1271";427926;581369
"1294";410654;563502
"1317";429850;582200
"1328";400870;563700
"1340";420960;631610
"1363";411600;612000
"1364";429330;582046
"1379";371200;563800
"1402";384300;556000
"1425";419860;611640
"1463";410100;563931
"1481";410100;564000
"1483";399300;655300
"1517";398280;627820
"1518";429172;585868
"1541";399970;627780
"1564";428000;584800
"1565";393612;564529
"1567";426200;591400
"1580";427820;584830
"1588";426720;579810
"1589";429800;574200
"1590";427960;584670
"1595";428562;517400
"1611";428500;517400
"1640";425600;513900
"1641";436974;513200
"1650";429741;515759
"1666";428656;516064
"1674";432007;514717
"1676";432156;514431
"1678";429460;515715
"1694";429550;515728
"1748";431880;514180
"2476";429268;515603
"2482";429647;515962
"2491";431105;511511
"2498";429157;515159
"2504";406203;517434
"2512";427815;516647
"2513";451490;531440
"2520";451591;528166
"2535";451440;528060
"2544";452107;533796
"2547";451450;528360
"2553";451670;527200
"2561";451440;531030
"2640";451484;527245
"2646";451208;530961
"2740";451410;531130
"2759";451375;530897
"2828";451866;528345
"2913";451300;531800
"2942";451205;531652
"3050";451537;528307
"3057";451630;531780
"3064";450852;530191
"3072";451250;532029
"3078";452510;527040
"3091";451600;527430
"3099";451935;520878
"3199";450420;520260
"3240";451678;519874
"3260";449103;521584
"3261";451768;520624
"3309";451490;520671
"3311";448715;520682
"3315";449332;521451
"3325";449155;521125
"3342";448860;521010
"3348";452632;520492
"3358";456050;521120
"3364";453186;521375
"3389";462674;522186
"3390";455968;521160
"3393";456856;521567
"3394";453500;521100
"3424";463707;517896
"3425";453817;521003
"3428";457017;521553
"3429";464362;515812
"3442";462756;522149
"3456";467550;516350
"3457";461148;517870
"3482";452770;521070
"3488";458035;525014
"3508";464087;515824
"3519";454521;520793
"3543";461147;517704
"3545";456210;524290
"3552";456800;522000
"3933";454550;520760
"3961";458389;525088
"3969";454210;522000
"3970";458070;525068
"3975";470942;519112
"4000";462752;522152
"4003";463599;521577
"4011";448310;522594
"4051";446670;522120
"4086";451300;522350
"4088";451700;524000
"4090";443200;517100
"4096";444454;516969
"4099";441561;515039
"4106";438292;520825
"4107";453600;524500
"4131";444340;517220
"4138";451097;521731
"4139";447684;521204
"4141";448186;522545
"4169";446336;521036
"4171";446600;520700
"4172";449360;502190
"4180";449590;525030
"4182";447900;521800
"4246";447200;521800
"4371";446754;519983
"4412";448130;522420
"4441";444463;517148
"4443";451800;521900
"4699";441590;532420
"4700";448889;522700
"4701";427700;562800
"4710";428291;562333
"4714";424727;560472
"4726";425868;557366
"4727";426369;556540
"4730";412924;563425
"4731";417140;563400
"4732";429200;562000
"4748";422700;562700
"4750";416892;564375
"4769";424900;559467
"4775";418661;563518
"4776";426560;563710
"4779";427883;562773
"4816";426255;563414
"4829";412300;559200
"4830";419050;563320
"4841";429500;562900
"4848";426516;555750
"4851";428200;562700
"5014";423497;561972
"5018";424580;556550
"5021";416885;564463
"5022";418992;563753
"5030";416200;562600
"5032";419130;563335
"5059";418948;563845
"5077";427500;562900
"5082";415710;562480
"5084";429620;565130
"5139";416000;567500
"5150";425987;565135
"5153";427400;563800
"5167";422280;568640
"5169";429600;564400
"5171";419180;564398
"5179";415800;567300
"5201";425800;589200
"5217";427175;563832
"5251";423244;563100
"5268";421400;563500
"5278";417100;565300
"5320";418300;564300
"5327";422900;572500
"5346";417300;565200
"5347";429600;564300
"5349";426525;564380
"5375";422968;572410
"5392";425980;574280
"5511";428766;569206
"5512";434400;567000
"5514";433300;567300
"5630";435325;567662
"5642";431995;566346
"5763";432809;561580
"5764";425972;572084
"5768";433550;566430
"5772";429180;569510
"5788";436064;568709
"5794";430000;570300
"5814";436000;568800
"5815";430600;572600
"5820";426007;572110
"5830";431415;565795
"5834";435600;564300
"5852";435400;564700
"5874";434640;564259
"5893";440832;555660
"5912";431811;555863
"5927";432073;550491
"5940";440616;556716
"5942";440780;556774
"5948";433573;552641
"5949";441000;556200
"5951";441372;557139
"5952";431900;555400
"6016";432821;556112
"6023";427861;558885
"6050";427834;558987
"6071";432196;550672
"6075";440480;554190
"6094";433760;550510
"6096";441300;556800
"6115";431600;548300
"6116";440736;555993
"6157";440865;556366
"6166";435536;547010
"6169";431791;555390
"6232";438264;558068
"6235";432098;555134
"6242";441056;555736
"6246";432890;555970
"6254";437100;546300
"6257";438797;557666
"6258";437653;557762
"6273";428512;557148
"6278";438200;557400
"6280";438850;557806
"6286";432700;555630
"6287";440200;556500
"6313";432800;551500
"6319";438821;557584
"6344";440808;556756
"6348";440899;556796
"6353";428388;558701
"6360";432948;556040
"6388";430000;554600
"6389";431400;557200
"6491";391246;371375
"6502";377006;319000
"6504";377548;354240
"6517";386541;363366
"6535";365798;354025
"6537";390145;371632
"6539";373401;360473
"6547";369166;351279
"6551";373579;360564
"6556";394236;383434
"6581";367330;360200
"6582";372787;363438
"6587";370421;366997
"6595";371250;353550
"6603";371600;365240
"6621";390916;371967
"6631";370478;366847
"6636";369529;367049
"6663";391244;371494
"6679";360281;357158
"6693";379094;358615
"6721";373053;359248
"6723";384793;375516
"6724";377473;355322
"6727";366494;357282
"6732";362343;354796
"6759";386597;363363
"6779";390169;371555
"6807";369400;345020
"6808";378700;356800
"6835";369500;355500
"6836";367799;356756
"6866";370960;365840
"7290";389670;378290
"7293";381650;359240
"7294";392100;377972
"7319";376647;379394
"7344";368150;352390
"7350";385556;363593
"7384";373723;361181
"7411";363141;365353
"7442";366300;368700
"7445";337940;372785
"7475";341800;376751
"7476";367661;373562
"7479";339187;378509
"7511";341004;376867
"7563";349345;360589
"7564";339500;378090
"7567";364972;374504
"7575";349594;360579
"7592";363050;365250
"7617";351836;377812
"7638";341050;376650
"8019";346219;377083
"8021";338749;366240
"8048";341270;376240
"8055";366884;375555
"8061";334982;378414
"8062";367795;375595
"8065";341220;376600
"8077";363870;374208
"8078";367700;366400
"8079";342016;364081
"8080";342270;375820
"8092";366300;374500
"8120";346433;364760
"8121";343758;367961
"8127";366209;371511
"8133";343260;376390
"8169";336258;378691
"8170";367700;373900
"8179";369820;374270
"8181";367495;366356
"8188";341815;376924
"8193";342200;374400
"8198";338689;366266
"8217";329149;378451
"8240";341900;376100
"8269";341990;376250
"8278";367920;374200
"8336";367780;373541
"8342";345869;377161
"8350";339810;371196
"8368";340501;376504
"8370";342440;375900
"8384";344700;371600
"8387";359908;391122
"8393";354600;385800
"8398";366720;393550
"8400";360301;389930
"8407";361581;385833
"8428";358327;387420
"8450";363860;388949
"8470";358260;387200
"8487";361317;388630
"8491";359831;388686
"8493";368030;391600
"8494";364430;396880
"8499";366149;387342
"8509";362256;388114
"8510";446920;339560
"8525";359515;391878
"8526";354380;386370
"8532";299230;528157
"8535";304779;524472
"8554";301377;524860
"8556";301936;524615
"8603";312750;554405
"8610";301891;524700
"8645";315524;541440
"8650";313313;553270
"8661";302020;524990
"8662";302260;524860
"8666";302990;535600
"8697";299112;527250
"8724";302586;534338
"8731";302901;534126
"8732";326491;547307
"8771";299130;529580
"8777";325230;548660
"8806";299419;528138
"8818";321900;468600
"8822";319150;470850
"8867";321280;473630
"8884";319100;470700
"8918";319862;472822
"8929";320014;473438
"8938";321500;475000
"8940";321987;475947
"8944";320010;473390
"8960";324083;474891
"8971";319900;473400
"9026";338421;557606
"9035";341480;555730
"9044";352722;562110
"9049";336330;562980
"9050";336539;560909
"9054";340020;554960
"9098";351900;561200
"9130";339160;556580
"9135";336410;560830
"9199";337189;560330
"9205";336500;563000
"9206";338497;559316
"9209";347498;560842
"9230";336596;562930
"9253";339612;555615
"9261";338250;565916
"9269";336000;563000
"9288";336730;562700
"9313";338882;556461
"9315";340010;555190
"9324";301267;509891
"9331";302500;524300
"9332";305733;505090
"9333";301760;515511
"9350";304000;517100
"9382";297020;515300
"9392";301832;524254
"9553";317800;479100
"9579";318700;479700
"9582";369580;519984
"9590";346500;529200
"9601";376900;507545
"9608";346500;529300
"9609";350888;529561
"9625";342033;546855
"9629";378590;512620
"9666";354975;531304
"9673";377315;509069
"9700";350500;492550
"9728";329166;478079
"9736";353814;482151
"9738";352100;494300
"9761";351800;493400
"9763";350208;492459
"9764";351996;492593
"9799";337300;404100
"9828";339558;476685
"9858";330201;477956
"9860";339470;500770
"9864";325533;476241
"9866";358602;492968
"9867";329355;478063
"9902";354820;485770
"9905";329390;478580
"9909";373517;405554
"9913";364305;410611
"9927";374279;404458
"9935";365217;406715
"9937";371900;410200
"9951";372933;405495
"9954";362700;411100
"9971";367340;406310
